,P,K,N,yield
1,0,0,0,24.5
3,40,0,0,26.7
5,80,0,0,22.1
7,120,0,0,44.2
9,160,0,0,12.0
11,200,0,0,37.7
13,240,0,0,38.0
15,280,0,0,32.4
17,320,0,0,5.3
73,0,0,40,23.9
75,40,0,40,60.2
81,160,0,40,96.2
83,200,0,40,81.1
89,320,0,40,79.5
145,0,0,80,28.7
149,80,0,80,99.5
153,160,0,80,102.2
157,240,0,80,97.2
161,320,0,80,116.9
217,0,0,120,25.1
223,120,0,120,119.4
225,160,0,120,133.3
231,280,0,120,129.5
233,320,0,120,135.7
289,0,0,160,17.3
291,40,0,160,96.0
293,80,0,160,115.9
295,120,0,160,113.6
297,160,0,160,129.7
299,200,0,160,128.7
301,240,0,160,127.6
303,280,0,160,134.4
305,320,0,160,122.9
361,0,0,200,7.3
363,40,0,200,95.4
369,160,0,200,105.7
371,200,0,200,140.3
377,320,0,200,138.7
433,0,0,240,16.2
437,80,0,240,112.4
441,160,0,240,130.5
445,240,0,240,121.1
449,320,0,240,127.3
505,0,0,280,26.8
511,120,0,280,114.9
513,160,0,280,123.6
519,280,0,280,130.0
521,320,0,280,131.8
577,0,0,320,25.1
579,40,0,320,81.9
581,80,0,320,129.0
583,120,0,320,124.6
585,160,0,320,135.6
587,200,0,320,136.0
589,240,0,320,130.9
591,280,0,320,124.8
593,320,0,320,127.9
